FID,MA_tmp,MA_prp,Tundra
671,-14.6707001,15.4167004,Tundra
672,-14.9350996,17.5832996,Tundra
673,-11.0909004,35.5833015,Tundra
674,-11.0980997,29.6667004,Tundra
675,-14.4061003,20.5,Tundra
676,-14.6927996,20.3332996,Tundra
677,-10.2846003,13.1667004,Tundra
678,-15.0567999,17.6667004,Tundra
679,-10.8886003,36,Tundra
680,-13.6828003,17.4167004,Tundra
681,-16.030899,15.25,Tundra
682,-14.7107,15.4167004,Tundra
683,-14.4551001,26.25,Tundra
684,-14.3822002,18.5,Tundra
685,-15.2088003,16.4167004,Tundra
686,-14.7277002,8.75,Tundra
687,-10.8193998,31.6667004,Tundra
688,-16.0774002,18.5,Tundra
689,-7.8385801,41.6666985,Tundra
